Intérprete,Código,Título
19,18483,Ano Kami Hikohki Kumorizora Watte
112,59463,Only You
112,67923,Dance With Me
10 Years,59461,Wasteland
"10,000 Maniacs",19807,More Than This
10Cc,59462,Donna
10Cc,67922,Things We Do For Love
10Cc,4920,I'M Not In Love
2 K FIERCE,97001,SWEET LOVE
2 Pac,59464,How Do You Want It
2Pac,67924,All Eyez On Me
3 Doors Down,50009,It_S Not My Time
3 Doors Down,50011,Kryptonite
3 Doors Down,50012,When I'M Gone
3 Doors Down,59465,Away From The Sun
3 Doors Down,59466,Here By Me
3 Doors Down,9033,Here Without You
3 DOORS DOWN,97003,BE LIKE THAT
3 DOORS DOWN,97004,BEHIND THOSE EYES
3 DOORS DOWN,97005,CITIZEN SOLDIER
3 DOORS DOWN,97006,DUCK AND RUN
3 DOORS DOWN,97008,LIVE FOR TODAY
3 DOORS DOWN,97009,LOSER
3 DOORS DOWN,97010,SO I NEED YOU
3 DOORS DOWN,97011,THE BETTER LIFE
3 DOORS DOWN,97012,THE ROAD I'M ON
3 DOORS DOWN,97013,TRAIN
3 DOORS DOWN,97014,WHEN YOU'RE YOUNG
3 DOORS DOWN,97015,LANDING IN LONDON
30 Seconds To Mars,50013,A Beautiful Lie
30 Seconds To Mars,50014,Closer To The Edge
30 Seconds To Mars,50015,The Kill
30 Seconds To Mars,20379,THE KILL (BURY ME)
38 Special,67925,Back Where You Belong
38 Special,67926,Second Chance
3Lw,59469,I Do (Wanna Get Close To You)
3Lw,59470,No More (Baby I'M A Do Right)
3Oh3,67927,Starstrukk Ft. Katy Perry
4 Non Blondes,2578,Spaceman
4 Non Blondes,9072,What'S Up
4Him,67928,The Basics Of Life
5 Seconds,67929,Of Summer Don'T Stop
5 Seconds,67930,Of Summer Jet Black Heart
5 Seconds Of Summer,59472,Amnesia
5 Seconds Of Summer,59474,Good Girls
5 Seconds Of Summer,19852,She Looks So Perfect
50 Cent,50017,Candy Shop
50 Cent,50018,In Da Club
50 Cent,73525,Just A Little Bit
5Th Dimension (The),9092,Aquarius
"5Th Dimension, The",59478,Last Night I Didn'T Get To Sleep At All
98 Degrees,59479,Do You Wanna Dance
98 Degrees,67932,Because Of You
98 Degrees,67933,I Do (Cherish You)
98 Degrees,67934,Invisible Man
98 Degrees,67935,The Hardest Thing
98 Degrees,67936,This Gift
A Ha,67938,Stay On These Roads
A Little Respect,67939,Erasure
A Taste Of Honey,73526,Boogie Oogie Oogie
A Teens,59480,Can'T Help Falling In Love
A Teens,4938,Mamma Mia
A Teens,4970,Super Trouper
A TEENS,97016,AROUND THE WORLD
A TEENS,97018,BOUNCING OFF THE CEELING
A.C.D.C.,97020,DOWN PAYMENT BLUES
A.C.D.C.,97021,HARD AS A ROCK
A.C.D.C.,97022,HEATSEECKER
A.C.D.C.,97023,JAILBREAK
A.C.D.C.,97024,SHOOT TO THRILL
A.C.D.C.,97025,TOUCH TOO MUCH
A.I.,2017,Story
Aaliyah,67940,Read Between The Lines
Aaliyah,67941,Try Again
Aaliyah,67942,What If
Aaron Lewis,67943,Granddaddy'S Gun
Aaron Neville,59507,Amazing Grace
